Fiscal Year,Related Govt Units,Organization Group Code,Organization Group,Department Code,Department,Program Code,Program,Character Code,Character,Object Code,Object,Sub-object Code,Sub-object,Fund Type Code,Fund Type,Fund Code,Fund,Fund Category Code,Fund Category,Purchase Order,Supplier & Other Non-Supplier Payees,Vouchers Paid,Vouchers Pending,Encumbrance Balance,Vouchers Pending Retainage,data_as_of,data_loaded_at,Non-Profit Indicator,Contract Number,Contract Title,Purchase Order Date,Purchasing Authority Description
2007,No,2,"Public Works, Transportation & Commerce",HHP,HHP Hetch Hetchy Water & Power,BDK,Water Transmission/ Distribution,540,Materials & Supplies,543,Equipment Maintenance Supplies,543310,Vehicle Parts-Supplies,5T,PUC Hetch Hetchy Funds,5TAAA,Hetch Hetchy Operating Fund,1.0,Operating,DPUH0700120401,PAPE MACHINERY INC,791.3,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,4,Community Health,DPH,DPH Public Health,D1H,SFGH - Acute Care - Hospital,521,Non Personnel Services,529,Maintenance Svcs-Equipment,529990,Other Equip Maint,5H,General Hospital Medical Center Funds,5HAAA,General Hopsital Operating Fund,1.0,Operating,DPHG0700044401,PENCER INSTRUMENT CARE,603.5,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,6,General Administration & Finance,ADM,ADM Gen Svcs Agency-City Admin,FFJ,Vehicle & Equipment Main & Fueling,540,Materials & Supplies,543,Equipment Maintenance Supplies,543310,Vehicle Parts-Supplies,6I,Internal Service Funds,6ICSF,Central Shops Fund,1.0,Operating,DPPR0700133401,GILMORE SERVICES,1119.16,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,BEN,Rail & Bus Services,540,Materials & Supplies,550,Equip -5K Or _(Contrlld Asset),550010,Eqpmnt(5KOr_-Controlled Asset),5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,1.0,Operating,POPT0700052001,T & S TRADING & ENTERPRISE CO,0.0,0.0,,11501.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,BE1,Administration,521,Non Personnel Services,521,Travel,521020,Travel Costs Paid To Vendors,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,5.0,Work Orders/Overhead,Direct Payments,AMERICAN AIRLINES INC,53517.85,3108.24,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,6,General Administration & Finance,TIS,DT GSA - Technology,BAK,Operations,540,Materials & Supplies,543,Equipment Maintenance Supplies,543410,Communication Supplies,6I,Internal Service Funds,6ITIF,Telecomm. & Information Svcs Fund,1.0,Operating,POTI0650025001,UNIFIED TELDATA INC,12499.19,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,1,Public Protection,POL,POL Police,ACM,Operations And Administration,521,Non Personnel Services,522,Training,522020,Training Costs Paid To Vendors,1G,General Fund,1GAGF,General Fund,1.0,Operating,Direct Payments,DENISE MASON,497.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,4,Community Health,DPH,DPH Public Health,DPD,Comm Hlth - Prevention - Disease Control,521,Non Personnel Services,529,Maintenance Svcs-Equipment,529990,Other Equip Maint,1G,General Fund,1GAGF,General Fund,1.0,Operating,POHC0600011301,TECHNICAL INSTRUMENT SAN FRANCISCO,840.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,6,General Administration & Finance,REG,REG Elections,FCH,Elections,521,Non Personnel Services,527,Profess & Specialized Svcs,527100,Payments To Poll Workers,1G,General Fund,1GAGF,General Fund,1.0,Operating,Direct Payments,ISRAEL  RODRIGUEZ,127.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,6,General Administration & Finance,REG,REG Elections,FCH,Elections,521,Non Personnel Services,527,Profess & Specialized Svcs,527100,Payments To Poll Workers,1G,General Fund,1GAGF,General Fund,1.0,Operating,Direct Payments,GREGORY HAMERTER,137.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,BAW,City Capital Projects,521,Non Personnel Services,527,Profess & Specialized Svcs,527040,Construction Contracts,3C,Capital Projects Funds,3CRPF,Recreation & Park Capital Impvts Fund,4.0,Grants,ENAT0200000202,ISEC INC & TROY'S CONTRACTING INC J/V,915.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,1,Public Protection,CRT,CRT Superior Court,AML,Indigent Defense/Grand Jury,521,Non Personnel Services,526,Court Fees & Oth Compensation,526120,Attorney Fees-Juvenile,1G,General Fund,1GAGF,General Fund,1.0,Operating,Direct Payments,KANGAS ATTORNEY SERVICE,29907.3,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,5,Culture & Recreation,LIB,LIB Public Library,EEF,Main Program,540,Materials & Supplies,549,Other Materials & Supplies,549510,Other Office Supplies,2S,Special Revenue Funds,2SLIB,Public Library Fund,1.0,Operating,DPLB0700059001,G B PRODUCTS,0.0,0.0,,1324.71,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,4,Community Health,DPH,DPH Public Health,FAL,Children's Baseline,521,Non Personnel Services,527,Profess & Specialized Svcs,527890,Other Medical Services,1G,General Fund,1GAGF,General Fund,1.0,Operating,DPHM0700047002,REGENTS UNIV OF CALIF / CTR ON DEAFNESS,0.0,0.0,,46888.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,6,General Administration & Finance,ADM,ADM Gen Svcs Agency-City Admin,AUA,Animal Welfare,521,Non Personnel Services,531,Rents & Leases-Equipment,531990,Other Equipment Rentals,1G,General Fund,1GAGF,General Fund,1.0,Operating,DPAN0700006801,UNITED SITE SERVICES OF CALIFORNIA INC,120.6,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,6,General Administration & Finance,ADM,ADM Gen Svcs Agency-City Admin,FFH,Facilities Mgmt & Operations,521,Non Personnel Services,528,Maint Svcs-Building&Structures,528990,Other Bldg Maint Svcs,1G,General Fund,1GAGF,General Fund,1.0,Operating,POAD0700006301,CLEAN-A-RAMA MAINTENANCE SERVICE,0.0,20960.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,2,"Public Works, Transportation & Commerce",PUC,PUB Public Utilities Bureaus,BCE,Customer Services,521,Non Personnel Services,535,Other Current Expenses,535990,Other Current Expenses,5W,PUC Water Department Funds,5WPUC,PUC Operating Fund,1.0,Operating,Direct Payments,JOE T. & ERMA L. STITT,150.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,2,"Public Works, Transportation & Commerce",CWP,WWE Wastewater Enterprise,BDC,Wastewater Treatment,540,Materials & Supplies,543,Equipment Maintenance Supplies,543990,Other Equipment Maint Supplies,5C,PUC Wastewater Funds,5CAAA,Wastewater Operating Fund,1.0,Operating,DPWP0700063001,SHAPE INC,2074.25,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,4,Community Health,DPH,DPH Public Health,D1H,SFGH - Acute Care - Hospital,521,Non Personnel Services,535,Other Current Expenses,535510,Copy Machine,5H,General Hospital Medical Center Funds,5HAAA,General Hopsital Operating Fund,1.0,Operating,POHG0500074001,KONICA MINOLTA BUSINESS SOLUTNS USA INC,4139.11,0.0,,1277.78,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,2,"Public Works, Transportation & Commerce",WTR,WTR Water Enterprise,BDJ,Water Source Of Supply,521,Non Personnel Services,535,Other Current Expenses,535990,Other Current Expenses,5W,PUC Water Department Funds,5WAAA,Water Operating Fund,1.0,Operating,Direct Payments,JAMES QUANCI,125.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,2,"Public Works, Transportation & Commerce",WTR,WTR Water Enterprise,BDK,Water Transmission/ Distribution,540,Materials & Supplies,542,Building & Constructn Supplies,542810,Small Tools And Intruments,5W,PUC Water Department Funds,5WAAA,Water Operating Fund,1.0,Operating,DPUW0700412301,D T C TOOL CO,828.13,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,2,"Public Works, Transportation & Commerce",WTR,WTR Water Enterprise,BDM,Water Treatment,540,Materials & Supplies,544,Hospital;Clinic & Lab Supplies,544310,Laboratory Supplies,5W,PUC Water Department Funds,5WAAA,Water Operating Fund,1.0,Operating,DPUW0700474001,AGILENT TECHNOLOGIES INC,2916.52,0.0,,200.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,2,"Public Works, Transportation & Commerce",WTR,WTR Water Enterprise,BDK,Water Transmission/ Distribution,560,Capital Outlay,560,Equipment Purchase,560990,Other Equipment,5W,PUC Water Department Funds,5WAAA,Water Operating Fund,1.0,Operating,POUW0700018001,HARRISON & BONINI INC,26874.37,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,6,General Administration & Finance,ADM,ADM Gen Svcs Agency-City Admin,FFH,Facilities Mgmt & Operations,540,Materials & Supplies,542,Building & Constructn Supplies,542990,Other Bldg Maint Supplies,1G,General Fund,1GAGF,General Fund,1.0,Operating,DPAD0700064001,JOHNSTONE SUPPLY,263.71,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,BG6,Facilities,521,Non Personnel Services,535,Other Current Expenses,535110,Cleaning Laundry,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,1.0,Operating,POAC0600003601,AMERIPRIDE UNIFORM SERVICES,95.6,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,6,General Administration & Finance,REG,REG Elections,FCH,Elections,521,Non Personnel Services,527,Profess & Specialized Svcs,527100,Payments To Poll Workers,1G,General Fund,1GAGF,General Fund,1.0,Operating,Direct Payments,BRIAN BUTLER BOYES,132.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,BG6,Facilities,540,Materials & Supplies,543,Equipment Maintenance Supplies,543990,Other Equipment Maint Supplies,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,1.0,Operating,Direct Payments,S & S SUPPLIES & SOLUTIONS,84.37,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,2,"Public Works, Transportation & Commerce",HHP,HHP Hetch Hetchy Water & Power,BCP,Hetch Hetchy Capital Projects,540,Materials & Supplies,542,Building & Constructn Supplies,542990,Other Bldg Maint Supplies,5T,PUC Hetch Hetchy Funds,5TAAA,Hetch Hetchy Operating Fund,3.0,Continuing Projects,DPUH0700121101,ANDYS HOME CENTER,1253.69,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,BG2,Business & Finance,570,Debt Service,571,Debt Redemption,571110,Bond Redemption,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,1.0,Operating,Direct Payments,THE BANK OF NEW YORK MELLON TRUST CO NA,86289471.25,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,2,"Public Works, Transportation & Commerce",DBI,DBI Building Inspection,BPS,Plan Review Services,540,Materials & Supplies,549,Other Materials & Supplies,549510,Other Office Supplies,2S,Special Revenue Funds,2SBIF,Building Inspection Fund,1.0,Operating,DPBI0700020301,PATRICK & CO,304.35,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,1,Public Protection,POL,POL Police,ACM,Operations And Administration,521,Non Personnel Services,522,Training,522020,Training Costs Paid To Vendors,1G,General Fund,1GAGF,General Fund,1.0,Operating,Direct Payments,WILLIAM F KIDD,2860.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,BEN,Rail & Bus Services,540,Materials & Supplies,541,Inventories,541100,Inventories-Purchase,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,1.0,Operating,DPPT0700584801,SHORELINE DIESEL MAINTENANCE INC,0.0,0.0,,5068.05,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,CAM,Adult Services,521,Non Personnel Services,530,Rent&Lease-Building&Structure,530310,Misc Facilities Rental,1G,General Fund,1GAGF,General Fund,1.0,Operating,Direct Payments,SERVICE SYSTEMS ASSOCIATES INC,600.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,1,Public Protection,POL,POL Police,ACM,Operations And Administration,521,Non Personnel Services,522,Training,522020,Training Costs Paid To Vendors,1G,General Fund,1GAGF,General Fund,1.0,Operating,Direct Payments,MARIA L MAGALLON,44091.22,4925.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,6,General Administration & Finance,TIS,DT GSA - Technology,BAK,Operations,540,Materials & Supplies,549,Other Materials & Supplies,549250,Minor Data Processing Equipmnt,6I,Internal Service Funds,6ITIF,Telecomm. & Information Svcs Fund,1.0,Operating,POTI0700015402,MICROMENDERS/GC MICRO JOINT VENTURE,2578.89,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,5,Culture & Recreation,ART,ART Arts Commission,EEJ,Art Commission-Administration,521,Non Personnel Services,521,Travel,521020,Travel Costs Paid To Vendors,2S,Special Revenue Funds,2SCRF,Culture & Recreation Fund,3.0,Continuing Projects,Direct Payments,AMERICAN AIRLINES INC,1169.91,518.79,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,5,Culture & Recreation,REC,REC Recreation & Park Commsn,ECR,Citywide Facilities,560,Capital Outlay,560,Equipment Purchase,560290,Automotive & Other Vehicles,2S,Special Revenue Funds,2SGOL,Golf Fund,1.0,Operating,DPRP0650092603,TURF STAR INC,20170.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,BE1,Administration,521,Non Personnel Services,530,Rent&Lease-Building&Structure,530110,Property Rent,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,5.0,Work Orders/Overhead,ENPT0700000103,ONE SOUTH ASSOCIATES LLC,63948.29,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,2,"Public Works, Transportation & Commerce",WTR,WTR Water Enterprise,BDA,Administration,540,Materials & Supplies,542,Building & Constructn Supplies,542990,Other Bldg Maint Supplies,5W,PUC Water Department Funds,5WAAA,Water Operating Fund,1.0,Operating,DPUW0700206501,SANTORA SALES,1031.18,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,6,General Administration & Finance,TIS,DT GSA - Technology,BAK,Operations,521,Non Personnel Services,527,Profess & Specialized Svcs,527610,Systems Consulting Services,6I,Internal Service Funds,6ITIF,Telecomm. & Information Svcs Fund,1.0,Operating,DPTI0700037401,GARTNER INC,180430.72,0.0,,41519.28,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,BG2,Business & Finance,521,Non Personnel Services,527,Profess & Specialized Svcs,527990,Other Professional Services,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,1.0,Operating,POAC0600077101,AIRPORT & AVIATION PROFESSIONALS INC.,23656.28,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,Yes,1,Public Protection,CRT,CRT Superior Court,AMT,Trial Court Services,521,Non Personnel Services,526,Court Fees & Oth Compensation,526610,Interpreters,7A,Agency Funds,7ACRT,Trial Courts Agency Fund,1.0,Operating,Direct Payments,SUNAI TEPRASEUTH,357.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,5,Culture & Recreation,WAR,WAR War Memorial,EED,Operations & Maintenance,540,Materials & Supplies,545,Safety,545310,Uniforms,2S,Special Revenue Funds,2SWMF,War Memorial Fund,1.0,Operating,DPWM0700053801,GALLS/LONG BEACH UNIFORM,370.99,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,BEG,Agency Wide Expenses,521,Non Personnel Services,535,Other Current Expenses,535210,Freight-Delivery,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,1.0,Operating,Direct Payments,EXPRESS OVERNITE,0.0,18.65,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,BAR,Building Repair And Maintenance,540,Materials & Supplies,543,Equipment Maintenance Supplies,543990,Other Equipment Maint Supplies,1G,General Fund,1GAGF,General Fund,1.0,Operating,DPBR0650076401,GRAINGER,249.75,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
